source_line,asin,user_id,rating,title,text,reference_label,prediction,status,error_detail
122156,B00IX1I3G6,AEOM5LNN3BVEYP7YNZWISPJHMTLQ,5.0,Thx!,Awesome and quick as usual.,POSITIVE,POSITIVE,ok,
101653,B086KKT3RX,AFGICVSWJDWBH7JCEJAER2WRYGJA,5.0,If it came when told in the beginning,I use in my difusers one in living room and 1 in the bath and it's fine,POSITIVE,POSITIVE,ok,
28814,B01K8RMDO0,AF5UX6ZDHT3ZJRGG74MERSOSJR2A,5.0,Gift card,Always love sending your gift cards,POSITIVE,POSITIVE,ok,
119567,B0091JKV1Y,AGQ3BUA5WKD7JRTOTJJSBCBI2JFA,5.0,Five Stars,nice presentation,POSITIVE,POSITIVE,ok,
142946,B01JQSP498,AFGWLFFB4VHMPLDPXFUXMDK6NUNA,5.0,Cute,Easy and cute for baby shower,POSITIVE,POSITIVE,ok,
88880,B00IX1I3G6,AFJGCUJSZVSHCOSC5GWUQZPUF4ZQ,5.0,It just works!,Worked flawlessly. I used both an amazon card and a cash card.,POSITIVE,POSITIVE,ok,
65409,B0763VZ9Z7,AG4O76Z4OL57ITA3A47ETZN4VLUQ,5.0,Gift cat,Gift card for my brother's birthday,POSITIVE,NEUTRAL,ok,
104421,B00G05RTS0,AGXU5ZGKH5Z5MH6UBZYSY2KAOCZQ,5.0,Only usable on Windows Apps Store,Great with Windows 10 App,POSITIVE,POSITIVE,ok,
96610,B01K8RMDO0,AG3WPL5Z6C747XQNJVP5I63BQPIQ,5.0,Easy Gift Card,Couldn't be easier to order.  Delivered the next day.,POSITIVE,POSITIVE,ok,
97755,B01CUS4Z4G,AEY3VITFP5QRIA7QWCXA4D33ODMA,5.0,Five Stars,I gave these as gifts and they loved them. The boxes added a nice touch!!,POSITIVE,POSITIVE,ok,
63026,B00AR51Y5I,AEMQFBH56VP6FBXR4P5RGITKG33A,4.0,Four Stars,Thank You !,POSITIVE,POSITIVE,ok,
22841,B01B25M6K8,AFYNC3QFWIJCYGHURN2QGDOAWKBQ,5.0,Great,Great,POSITIVE,POSITIVE,ok,
92748,B00IX1I3G6,AEXUJX4JCAYUTZDIDOB6XZN3PQOQ,5.0,Prime Member FOR LIFE!,Thanks Amazon! easy to use feature,POSITIVE,POSITIVE,ok,
46363,B00BXLUO1U,AFZWYIFHVR7RCD7M4PWJ6LR2FA7Q,5.0,Five Stars,These gift cards arrived sooner then expected,POSITIVE,POSITIVE,ok,
105039,B01E4QUN0W,AHFKKFG2XONVLVYIR2BMHAICM5XQ,5.0,:),"Fast shipping, nice metallic container.",POSITIVE,POSITIVE,ok,
38684,B005ESMGZU,AFEOOT3ZG5LPWAUJTV4R4HG7CO7A,5.0,Five Stars,excellent,POSITIVE,POSITIVE,ok,
63046,B01K8RKA9A,AH52B7SIMYWJBHAJAFD2ULETDABQ,5.0,Great gift idea,Excellent product. Arrived on time and as described.,POSITIVE,POSITIVE,ok,
42607,B07HJHK8Y5,AFAJARNKDBPISSPBOWSX36PGIEEA,5.0,Birthday gift for my granddaughter,The quickness of delivery,POSITIVE,POSITIVE,ok,
42243,B01E4QRN14,AHROM4AKCWYBECBYFHFHJ6X3HFEQ,5.0,a Cute box-o-money that is more festive than handing out cash.,"Who doesn't like money?<br /><br />My nieces & nephews loved getting these for Christmas.  I'd just give them the cash... but these boxes are more festive.  I like them because they cash them in for the same money I paid for them.  So, for nothing, I get cute boxes rather than having to pay $6 for a card!",POSITIVE,POSITIVE,ok,
80660,B0091JKFG0,AGPPSK24HAV7VGY6WOTQQYMKE43Q,5.0,A hit!,"I ordered two $50.00 gift cards as Christmas gifts. They were a hit with the recipients, especially the one who had received a Kindle Fire for Christmas. The packaging was very nice. I received the cards the day after ordering them. Great service from Amazon!",POSITIVE,POSITIVE,ok,
20962,B01K8RJDEI,AE4HB52ROWBUTUTA3SXCPGUU5RRQ,5.0,Five Stars,Cute tin and It was sturdy enough to withstand a one year olds wrath,POSITIVE,POSITIVE,ok,
69125,B00IX1I3G6,AEQOFUJIWOY75MQTYJQW5PJ6CGJA,3.0,Go to the store instead,"Never again. So what they fail to tell u, or highlight, is the fact it takes up to 4 hrs for anything over 75$, and it can be held up to 12 hrs for any larger orders. I used this because i had to, but i dont think i will be using it again. Its quicker just to go to a store and buy the gift card then it is for these thing. Only got 3 stars because i still got my money, and u dont get charged any extra fees. Other then that because of the processing time u miss out on deals, amd sooner shipping.",NEUTRAL,NEGATIVE,ok,
65458,B0725J7VW7,AERUISB22JNUKCFEFSIMYIAOUW4Q,3.0,Amazon needs to make the monetary value on gift cards when sending,I ordered 3 -$100 gift cards and 1 -$50 gift card. They delivered them all together without telling me which one was tge $50 card. This is very frustrating at Christmas.,NEUTRAL,NEGATIVE,ok,
121605,B00IX1I3G6,AGLHGE7E6LUJIL53F4JXZX7ST3IQ,3.0,Some discounts better than nothing,Yeah it's saved me $10 on a hundred,NEUTRAL,POSITIVE,ok,
27424,B086KKT3RX,AH6MRLBKFAWLRLCFSE4QRPIIOYFA,3.0,Eh,Takes a while to get through. The old way was much easier,NEUTRAL,NEGATIVE,ok,
14788,B071YT3CB8,AGVQJ27W4O6YNCSFXAC3HVQLLSDQ,3.0,Santa Chimney for Amazon Gift Card,It was ok.  I like the tin so much better.  Tin made a better presentation then this.,NEUTRAL,NEGATIVE,ok,
569,B005FGQH7E,AHK7NMWTAZGHBBIXLCQ4G4FEZP4Q,3.0,Three Stars,They are what they are.,NEUTRAL,NEUTRAL,ok,
25601,B0763VZB82,AE6U7POK55VFAN4NG5ZTZJ5P2GKA,3.0,Replacement,"Difficult to evaluate a gift card that I bought because Amazon sent me an empty one that I gifted for Xmas (it was supposed to be $50). I bought a number of cards last year as Xmas gifts and one came ""empty"", apparently it was an additional card Amazon sent - the person received a Xmas gift card with 0 balance nevertheless",NEUTRAL,NEGATIVE,ok,
65892,B01K8RJDEI,AHYY3YI7U5HUHBWL4XGWRJ45CYEA,3.0,No gift note,I marked it deliver as gift with a note and when it was delivered there was no note so she didnt know who it was from!,NEUTRAL,NEGATIVE,ok,
123047,B086KKT3RX,AHN5RTZFJ2TDXE74GNS2NA7ECKUQ,3.0,Valid only in US,It is only valid in US which makes it hard to use if you live abroad,NEUTRAL,NEGATIVE,ok,
123113,B086KKT3RX,AFXQYQO4266QMIELYSTMJBZJHILQ,3.0,Amazon reload,The reason I give it a 3 star is when you put your own custom amount it just says payment cancelled we think someone got into your account.,NEUTRAL,NEGATIVE,ok,
32001,B086KKT3RX,AGQDTGHDUI4OOKM2Y6AHFP727VCA,3.0,I added $$ to my gift card,"I added $$ to my gift card during the prime week - unfortunately I did not read the fine print that said I had to use a code to get the additional $12 when adding $50 to a gift card.  But really - I have a prime account, the offer was for prime users - ""buy/add $50 to a gift card, it becomes worth $65"" - seriously - I did not expect to jump through hoops - my bad totally for not reading - their bad for not seeing this pitfall.. not whining, really - it is a smack upside the head to read it all next time!!! lol",NEUTRAL,NEGATIVE,ok,
139115,B0160LI5T0,AEBHAYORONNVUU7AR4NZD5DPUSKQ,3.0,Perfect for Halloween!,Perfect color combo for Halloween. I was expecting a gold bow - as per picture -  but it is orange.<br />A gift card is a gift card but I will be shopping for new ribbon.,NEUTRAL,NEUTRAL,ok,
115671,B01GF6X842,AFGXSM3EDRPM5HOANYVNZCNJHW3Q,3.0,"Cute, if you want a pirate pinata",Cute idea. I wish it would've been packaged a little more carefully rather than being thrown in with other ordered items - it needs its been little box. Arrived with bent ears and one of the eyes was missing.,NEUTRAL,NEGATIVE,ok,
58998,B01K8RJDEI,AHPOLJLQUBVJJC7PUS4VFLFEULKQ,3.0,"Nice tin can, but",What ever happen to the plastic cards? I chose a snowflake tin can. when I opened it. I found that the car inside was a thick cardboard. I was surprised to see that it wasn't like the usual plastic . And there wasn't a certain place to write what the girt card amount would be. I had to write it on the front of the card. It did come with a receipt that have the amount on it. But you need a magnify glass to see it. Why so small!<br />The worst part is the delivery. The guy or girl left it in the hallway for anyone to take. I had a good amount of money on the gift card and anyone could have grabbed it and use it. I was not happy. And I left instructions not to leave it out side or in the hallway.,NEUTRAL,NEGATIVE,ok,
128508,B01E4QP6RW,AFFWQDSVOIAAKML3N4BYZCRQMNJA,3.0,Nice presentation for a gift card except for the fact ...,Very cute and different.  Nice presentation for a gift card except for the fact that it arrived folded incorrectly and didn't pop up when opened.  I tried but couldn't correct it.,NEUTRAL,NEGATIVE,ok,
8948,B07RPCG742,AGIJ6MGT4PJLYKAYGHQ3WNU6VWKA,3.0,As advertised,Easy,NEUTRAL,POSITIVE,ok,
102813,B01K8RMDO0,AGW5TJGUJ4IT5QOHFNZFJZGGSS7Q,3.0,Leave yourself time to match gifts to recipients!,"Gift card tin arrived with Santa bag on time. However, the recipient information was tossed in the package without any reference to the actual gifts. Luckily I knew which tag went with which gift, and the gift values weee the same. However, this was a problem for gifts sent directly to recipients. The only gifts which were properly marked were the gift-wrapped items, but even those arrived with extra recipient tags adding to confusion. We should not have to build-a-gift at these prices. Amazon, you can do much better than this!",NEUTRAL,NEGATIVE,ok,
26393,B01N9GY4GF,AFGICGP7XANXCEDNEUBXJ24VMXAQ,3.0,Confusing if you buy 2+.,"I bought two of unequal value for graduation gifts for my niece and a neighbor.<br />I spent more for my niece.<br />However when they arrived, there was no marking to tell a difference in the two values.<br />Regardless, I sent one to a friend and one to a neighbor. I have no idea which one my niece actually got.",NEUTRAL,NEGATIVE,ok,
3855,B00GRLGF6O,AFUDCWBIEOM2O23D7XO76FWFHZNA,3.0,Not 2 day shipping as advertised,"2 Day shipping did not take 2 days as promised and there is no return on gift cards. If your in a hurry, purchase local",NEUTRAL,NEGATIVE,ok,
125955,B00IX1I3G6,AHF7S7B6X4GJMQSPRKM2WN6WJVZA,3.0,It must be improved.,"I like the rewards that you get if you reload your amazon gift card balance. However, sometimes it does not work right and doesn’t give the right amount of rewards. So last 2 times I did it I actually had to call amazon customer service to claim the rewards.",NEUTRAL,NEGATIVE,ok,
73926,B00IX1I3G6,AGVFYRYSWO5QI5DGXEJIB7RKXSDQ,3.0,Three Stars,"Good price, excelent deal.",NEUTRAL,POSITIVE,ok,
10992,B086KKT3RX,AGTNJV6DR7FS3VMPBHHTNBNOHVLQ,3.0,😞,Wish I received additional $10 for $100 reload,NEUTRAL,NEGATIVE,ok,
137867,B0091JKYLQ,AFZX6OMKQ6SXKUJV3DQRK7KDJ2PQ,3.0,need better packaging for shipping,Package came damaged. Santa tin was bent/crushed.  I hope the gift card still works.,NEUTRAL,NEGATIVE,ok,
130465,B01K8RK2KW,AE4ILOV3LKB33XE5TNHYSHJNDWLQ,3.0,There is not a better gift card out there,"There is not a better gift card out there! They make great gifts. They look cool. Downfall - for being an Amazon card you'd think this would be a Prime item, it took over a week longer to get. Sad.",NEUTRAL,POSITIVE,ok,
51830,B00IX1I3G6,AHVEMGWN6QOMP4VFE3LIOLQPMZQQ,3.0,No clue,No idea,NEUTRAL,NEUTRAL,ok,
99692,B01MSBQB1P,AGGV5FLQECYLENGOFYBFDQ6Q22QA,3.0,High purchase fee,Purchase fee is very high kind of insane,NEUTRAL,NEGATIVE,ok,
15464,B0091JKU5Q,AGAECPMQCDMR3ZDQVJHYSOSGH4CQ,3.0,"It's Merry Christmas, not Happy Holidays","I should've paid closer attention.  I was disappointed to see that the gift card said, &#34;Happy Holidays&#34;, instead of Merry Christmas.  The snowflake tin looks great, and will make a good Christmas gift for a relative.",NEUTRAL,NEUTRAL,ok,
58365,B00IX1I3G6,AH7FHXVAGEM24C7UI5SQKUDIISEA,3.0,Had unknown issues with payments.,I had issues with payment. And it looks lik it was amazon issue,NEUTRAL,NEGATIVE,ok,
63003,B005S28ZES,AHHGSLOIMWEJOGOOJLL5EONT33BA,3.0,amazon gift card,It was difficult to figure out how to use the card with the Kindle. It would be great if there were an obvious option in the kindle itself to upload the card. I had to do it logging into my amazon.com account online with my computer.,NEUTRAL,NEGATIVE,ok,
74977,B00IX1I3G6,AFLFIMJTBYOY2MDBASJECCFK725A,3.0,Free Money,"I used this because there was a bonus during the holidays (reload $100 and get some extra money credited to your balance).  However, I don't normally find it useful, because it only gives the 2% back if you use a debit card and I use a credit card.",NEUTRAL,NEGATIVE,ok,
118886,B01FERR3J4,AENJY7W4OZVPOFWTW3JGNEPXW5RA,3.0,Three Stars,I can't even remember who I gave it too.,NEUTRAL,NEUTRAL,ok,
52362,B00IX1I3G6,AFLL43QYT775SCX23IVZWVOG7CJQ,3.0,What is there to say about a gift card?,It worked.,NEUTRAL,POSITIVE,ok,
32157,B00BXLVAQS,AHPHHD6CT6T7JG33YLAS3OMH5TEQ,3.0,Three Stars,"Gift card worked perfectly, food was and service was nasty though.",NEUTRAL,NEGATIVE,ok,
101155,B014S24DAI,AHDH4FG2FQEGB34YTLJ3KB5AUIMQ,3.0,Three Stars,Tree hangers,NEUTRAL,NEUTRAL,ok,
112454,B01C9MW8Z6,AH7A3RTE4H7MFRRPGGJWOEMYGXOQ,3.0,Mangled tin!,The tin was so mangled I could not bend it back into shape to completely close.  I had to apologize to the recipient that it looked used!,NEUTRAL,NEGATIVE,ok,
137179,B00IX1I3G6,AH3EZEE2OKICJVRFB46GWVKK46AQ,3.0,It advertises that the money will show up in 5 ...,"It advertises that the money will show up in 5 minutes, but that was not the case for me, very frustrating.",NEUTRAL,NEGATIVE,ok,
75154,B071NM2PNL,AH7CPOMHJD3NY7T3EPW2W57EAFCA,3.0,Envelope,Gift card did not ome with the envelope,NEUTRAL,NEGATIVE,ok,
113219,B00IX1I3G6,AFS2LYFLTVD3ADKPVWXSN6UIBR2A,3.0,No idea what this is.,No idea what this is.,NEUTRAL,NEUTRAL,ok,
18647,B071VCQVNZ,AEQVEZH7PTQHBTOWEXOTXNIPEUHA,3.0,No ornament,I specially ordered a gift card with a reindeer ornament inside and did not receive the ornament.,NEUTRAL,NEGATIVE,ok,
95678,B00IX1I3G6,AGW4YTKYJZOIHEMLRBJSSWERDDGQ,3.0,A regular giftcard,"I thought this &#34;card&#34; was going to reload when funds got depleted, but it does not.",NEUTRAL,NEGATIVE,ok,
72030,B005ESMJ02,AFXOKC6AD6ELVR7SLC4BNZ3ZEXEQ,3.0,Gift box is filthy and crinkled,"The box is smashed and dirty.  Looks like someone slid it around on the ground and then packaged it up and sent it to me.  I will buy the gift cards from local stores from now on.  This is a gift and I am too ashamed to present it in the gift box.  The card itself is okay, but ordering it in the gift box was kind of the point.",NEUTRAL,NEGATIVE,ok,
90118,B08JV9BS26,AFIG3LM4GY5W7GW6WCISZ6UZBKDQ,3.0,"Gift message was not left with package, my brother had no idea who it was from, very disappointing.",Should have given the gift message with the gift card so my brother knew who it was from.,NEUTRAL,NEGATIVE,ok,
128056,B0091JKLN2,AGFLKBSLBLIXBBGOG2PRPO4STEUA,3.0,The card cover package very  cheap .,How  do  you mess up a gift card? This one  was  somewhat mashed even though it was  in a box.,NEUTRAL,NEGATIVE,ok,
79793,B014S24B28,AENOURWQJUUXWIALWUS5USIDDQZA,3.0,Now I would've given this card a 1 star rating but since amazon costumer has been extremely friendly and gone out of their way f,"Okay so I had an extremely difficult time with my amazon gift card which someone so thoughtfully bought for me since they know my fondness for shopping online. Well first of all, I had to pay shipping for everything I bought, which I wouldn't have minded except it's going to take almost 2 months for my items to get here since my estimated time is late February and right now it's late December. And the shipping was around 7 or 8 dollar which took put of my gift card. Then I couldn't buy anything over 5 dollars, everytime I tried my payment was declined so I got some cheap rings and shirts all under 5 dollars. Now I would've given this card a 1 star rating but since amazon costumer has been extremely friendly and gone out of their way for me in the past I decided a 3 star review was good enough, but just be careful buying amazon gift cards since it can be a little wonky and maybe next time get a wart instead since I had no trouble with them and I got free shipping",NEUTRAL,NEUTRAL,ok,
59732,B01DCN7N0G,AGCXPZZ7UOLICXL7HT27G4H2FFYQ,3.0,Very annoying that there is no denomination anywhere on the box,"Very annoying that there is no denomination anywhere on the box, card, or plastic it comes in. I ordered various gift cards and have no idea how much any of them are worth. I have to remove each claim code from the cards. Tacky!",NEUTRAL,NEGATIVE,ok,
68252,B00X0CGUZ4,AFLKLFPP6WN6DMYXK5LE3A5NYC4A,3.0,Wrong envelopes sent,Cards sent with envelopes that were too small to put them in... had to send in different envelopes. Not a huge deal but super annoying.,NEUTRAL,NEGATIVE,ok,
148183,B00BXLSZ1G,AFICRV2D4TGP4JBLVI7V4TGC4ZUA,3.0,BWW Gift Card Not Scannable,Servers have to manually enter number.,NEUTRAL,NEGATIVE,ok,
73408,B01K8RJDEI,AECQKUHGSGTZB7OJZ2DOUSVOAKIA,3.0,Some of the codes were unusable on receipt. Had ...,"Some of the codes were unusable on receipt. Had to request a new code for one of them which worked, but then because I had bought them in a pair, the second one was canceled as well so now I need request a new code for that one. If it's denied I'm deducting stars.",NEUTRAL,NEGATIVE,ok,
88065,B06WVJBLBQ,AH5SVDNVURUOX3VX65UJYIQZYZDA,3.0,Hard to figure the value from outside.,Hard to figure the value from outside.,NEUTRAL,NEGATIVE,ok,
135811,B00IX1I3G6,AFWWZJLURHNXB5UHN5DH4EZDVIUA,3.0,works fine,alil bit of time to process not instant,NEUTRAL,POSITIVE,ok,
114331,B086KKT3RX,AF6D2VHDQL5FRVWW4Q3YW4D7KZAQ,2.0,What!,No No No,NEGATIVE,NEGATIVE,ok,
36485,B00IX1I3G6,AG65JJL2XLADTT3E52NYWQ7667LA,2.0,...,"I have no idea why amazon takes me to the check out page of this,  but 10%off is not a bad deal",NEGATIVE,POSITIVE,ok,
111402,B01MSBQB1P,AFJOTVDQBNSS2BGTVPR63L5X5VOA,1.0,Don’t buy,I have tired using it at 2 stores and both have been declined,NEGATIVE,NEGATIVE,ok,
67425,B01K8RJDEI,AH6IJTFHLBGF62M764VLKUUWP6GQ,1.0,Not like the picture,"I did not get the snowflake tin, or the blue amazon card. I received a regular red amazon card, and had to look for a small box for it to wrap. Disappointing, this is not like the picture.",NEGATIVE,NEGATIVE,ok,
112616,B07641DGK2,AGU3KOOTENBLGIC3PH5FOFWRQTSA,2.0,disappointed that the gift card doesn't show value,disappointed that the gift card doesn't show value. it's a gift...you don't want inform the receiver how much it worth.,NEGATIVE,NEGATIVE,ok,
55946,B00IX1I3G6,AEFUCIR2K2X4MODY4NIMSTILGFFQ,1.0,False Advertising,It says get $10 when you reload $100 or more.  I selected $100 and it said I would receive $5?  How does that correspond to what is being advertised.  It does not.,NEGATIVE,NEGATIVE,ok,
47818,B0719C5P56,AHJAKFIPWZIYKU4DTKC7R2UUK3GQ,1.0,Pointless Purchase,"Beware!  UPS held this gift card and refused to deliver because it is a gift card.  My son lives 45 minutes from UPS pick up store.  UPS refused to take to a closer place for pick up even after the request was made.  Needless to say, he will not get his gift card delivered for Christmas, so I am off to another store to buy a gift card and mail it.  Pointless purchase.",NEGATIVE,NEGATIVE,ok,
110266,B01MSBQB1P,AEOQLYU2HPB23UE2Y5NYB2Z5LSAA,1.0,Don’t order these rip off gift cards they are a scam,Got the gift cards a day later and there was NOTHING on neither one of the gift cards. DO NOT ORDER,NEGATIVE,NEGATIVE,ok,
24655,B01N9GY4GF,AEK3LJQJZ46MU2MZYMZJIDTHOG2Q,1.0,Why didin't you include the message for the recipient?,"This was a LARGE graduation gift from my mother to her granddaughter. But the congratulations message my mother wrote to her granddaughter to accompany this gift card was not with the gift.  She had no idea who sent her this gift. She called around to figure it out.  That's very discouraging, that such a large gift would be sent with NO notification of who it was from!",NEGATIVE,NEGATIVE,ok,
130431,B00JJ59UA8,AHUM4YQTJ2HNHPOCW2MQPZAC76GQ,1.0,NEVER AGAIN,The cards had no money on them. Very disappointing. Wish I had reviews before purchase.,NEGATIVE,NEGATIVE,ok,
116384,B07MZS4F18,AF6UNIAFQCXNFCU74C2FIWKWOKIQ,1.0,BUYER BEWARE!!!!,THIS CARD CAN NOT BE USED ON STUDENT SUBSCRIPTION. PURCHASED THIS CARD FOR MY SON. AMAZON REFUSES TO REFUND MONEY. VERY DISAPPOINTING!!  $100 LOSS.,NEGATIVE,NEGATIVE,ok,
149560,B01HSMZ1VU,AEPYYKYPIFC75GU4SE5N4HB75GZA,1.0,Major problem opening Amazon account,"The system repeatedly did not recognize a credit card I frequently use and am absolutely sure all the details provided were correct.<br />In the end after much hassle and several emails I was successful in opening another Amazon a/c using a different credit card.  Even then there was delay before the charge (less than $100) for a gift card purchase was approved.<br />To reply to your request for a review today I had to have an authentification code sent to my email address in order to access my account.<br />I hope I have no further problems accessing the Amazon a/c or making purchases!<br />If you are showing another additional Amazon account for me in addition to the one I have currently accessed, I would be grateful if you would cancel it.<br />I would appreciate an acknowledgment from you of this review.  Thanks!<br />Keith Armes",NEGATIVE,NEGATIVE,ok,
71066,B086KKT3RX,AGSQPA4HF5GE72UP6XPFKHEIBJEQ,1.0,iPhone 12 will not work!,All incoming calls got a disconnected message and I couldn’t call out!,NEGATIVE,NEGATIVE,ok,
43155,B00G05RTS0,AGHAX2TI6TXRZLXZOGTMNCUDXACA,2.0,SAD SAD SAD = READ CAREFULLY BEFORE PURCHASE,"very disappointed. I have win 10 and Microsoft could not and windows would not honor it.  Now what am I to do??  I do not run a business.  I'm disabled and cannot return to work at this time....this truly is my only source of entertainment as I cannot leave my 86-year-old mother I moved in with 20 years ago and the doctors gave her five years....tops.<br /><br />If you can switch it, since you will not remove it from my beer.<br /><br />Best Regards,",NEGATIVE,NEGATIVE,ok,
