source_line,asin,user_id,rating,title,text,reference_label,prediction,status,nrc_primary_emotion,nrc_tie,nrc_tied_emotions,nrc_no_match,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_sadness,nrc_surprise,nrc_trust,nrc_negative,nrc_positive
51,B0091JKYLQ,AFEYY6TB5DOF2U4WCL7GRMNZREJA,5.0,Little sister surprise,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,5,0,1,5,0,5,2,0,6
52,B00IX1I3G6,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1.0,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more.<br /><br />A Bronx cheer for you!,NEGATIVE,NEGATIVE,ok,anticipation,no,anticipation,no,0,3,0,0,2,0,2,1,0,3
53,B07Q8KN5TJ,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,4.0,Perfect gift!,This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,5,0,0,6,0,4,3,0,8
54,B07Y5YJK66,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,4.0,Great staff appreciation gift!,What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,POSITIVE,POSITIVE,ok,joy,no,joy,no,1,4,1,1,6,1,4,4,1,7
55,B01C9MW8Z6,AFTPWW67O3POISX7RO75HMRHQL3Q,5.0,Cute cute cute!,I love the tin! The gift cards can be ordered on different amounts.,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,1,0,0,2,0,1,0,0,5
56,B00IX1I3G6,AEZJ2TU2SLZEDP2YXEM7UHTLM6EA,5.0,Five Stars,Simple and easy.,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
57,B086KKT3RX,AF2FG45QSSVK2WMLTGPTD5IZHSWA,5.0,As described.,Being able to reload the gift card is a time saver.,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,2,0,0,1,0,1,0,0,1
58,B01MDLOM4V,AF36B77ISO4OHA5GUTF46F4BJRMQ,5.0,Perfect gift for any occasion. Let them pick out what they love!,"I mean really, who wouldn't LOVE this?!?  Wonderful gift for any occasion.",POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,6,0,3,2,0,7
59,B005ESMHN6,AF36B77ISO4OHA5GUTF46F4BJRMQ,5.0,12 year old daughter loved this gift!,Perfect gift for your kids!,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,2,1,0,4
60,B00IX1I3G6,AGV5IAI7ELBBT327V7EUBECMW6MQ,5.0,Easy to send to an Amazon shopper,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,1,2,0,0,2,0,2,0,1,3
61,B00IX1I3G6,AFOU3KAJIZ7YQCXJ3CJOYJ3J7GSQ,5.0,Rec'd promo from Amazon when reloading gift card.,"Bonus, rec'd a promo from Amazon for reloading gift card.  Yeah.<br /><br />Gift card was posted to my account quickly.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,4,0,0,4,0,4,1,0,4
62,B00IX1I3G6,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,5.0,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,1,0,2
63,B005ESMF5G,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,5.0,What a great company,"Who wouldn't want an Amazon gift card?  The box foretold the contents, lol.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,1
64,B07RN957Q8,AHZ53K26WSCRDR32EGBBA43OEFFA,1.0,A problem to use at drive thru's,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",NEGATIVE,NEGATIVE,ok,trust,no,trust,no,0,3,0,2,2,2,1,5,3,10
65,B00IX1I3G6,AFOELOYLQUGV6UDAZU2YLAOVZ4JA,5.0,A gift card does make a great gift for a tweenager.,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",POSITIVE,POSITIVE,ok,joy,no,joy,no,0,6,0,0,7,0,5,3,0,7
66,B00IX1I3G6,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,5.0,Nice to have,"This comes in  very handy, and makes the guilt less",POSITIVE,POSITIVE,ok,disgust,yes,disgust;sadness,no,0,0,1,0,0,1,0,0,1,1
67,B071NM2PNL,AGSGQ6Z2XBJPLC5C2EOZDPCDXKDQ,5.0,Excellent Gift,"Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!",POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,2,2,0,4
68,B00IX1I3G6,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,5.0,Yay so easy!,So easy! No scraping!,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
69,B086KKT3RX,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,5.0,:),easy to use,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
70,B00IX1I3G6,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,5.0,10/10,works great,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
71,B06ZY43PDR,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,5.0,Perfect for a birthday 🎂,Another nice gift box from Amazon. With the world the way it is now I had to send a gift rather than going to a party. And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail.,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,8,0,0,7,0,5,3,0,8
72,B07FKKBFHS,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,5.0,Perfect!,Bought this for a gift and was very happy it shipped quickly and they received it just in time! Amazon is awesome! 🤩,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,4,0,0,3,0,1,2,0,4
73,B01K8RIM5Y,AHUX7LYUKBTCPVVALKMMPH6JYCGQ,5.0,Gift box nice!,Love the gift box. So much j NB icee than just handing a gift card to the grandkids.,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,3,0,0,4
74,B086KKT3RX,AETXMYPV6KHWTNVRXNXFYQN2TZNA,5.0,It was soooo easy,It was a nice way to give a present,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,1,0,0,1,0,1,1,0,1
75,B005ESMGZU,AFDAN27KWZQOMPX5J2NB7MAPOIXA,5.0,great,great buy,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
76,B00IT0NO10,AHI5GVBI6PNSQ4T43RTEAJ4VQH2A,5.0,Amazon Thinks of Everything!,GREAT idea!  I was so happy to have these on hand for the Holidays!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;trust,no,0,1,0,0,1,0,0,1,0,1
77,B0866QM41K,AGWX2VRM6GYPGQM3XNL2NEYY7JAQ,5.0,Amazon lover giftee?  Buy it!,So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br /><br />Well done Amazon.  Well done.,POSITIVE,POSITIVE,ok,joy,no,joy,no,1,3,0,0,4,0,2,1,1,4
78,B00IX1I3G6,AFTDSPCG32FV2VPWLEYPDQARTSQA,5.0,Timing,Great timing.,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
79,B086KKT3RX,AFH37SUSDVJI6GWNF2YSSGAPUB7A,5.0,Was easy to do,Easy to use,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
80,B07FKK8SFR,AEVH6SVYTFNNONWKJLLZOGDRBFWQ,5.0,PENGUINS,So so cute!,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,1
81,B0866QM41K,AE5PZITMWZJBPVKL7XXYUFBTITQA,5.0,Believe this is the best gift to give !,The recipient can choose what they want so the giver has less chance of a mistake.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;surprise,no,0,2,0,0,1,1,2,0,1,1
82,B01MSBQB1P,AEUZHPIGXLWEQ7HW5LRYEPD3QYCQ,5.0,convenient,A great and convenient gift idea-price is right too!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,3
83,B005ESMM04,AG4H4WHLCUIJMCIRGXUZWNVIOODA,5.0,Five Stars,The gift card came in a pretty box.<br />Thanks Amozan.,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,1,0,2
84,B07641P3WL,AFP4PCVJ723ZNLOS4IPWVLLC3T2Q,5.0,Best gift for someone you don’t know what to get,This was for a gift,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,2,0,0,2,0,2,1,0,3
85,B07674CBVT,AFGNK6IBETT72HOGGHE7GMBDWPQA,5.0,Great value,Made my shopping much better good value,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise;trust,no,0,2,0,0,2,0,2,2,0,2
86,B07DDC8FJM,AGF6GWDAWG7UW3R5O2G5O5JZC4BQ,5.0,Sweet gift!,I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,4,0,0,4,0,3,3,0,5
87,B07HJD9FVV,AG4DEQCBVNCJPRHXC3S255BBJALQ,5.0,Amazing,It can be used for a variety of things.,POSITIVE,POSITIVE,ok,NO_MATCH,no,,yes,0,0,0,0,0,0,0,0,0,0
88,B07FK7L976,AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,5.0,Great Holder,Great holder for gift cards,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;surprise,no,0,1,0,0,1,0,1,0,0,1
89,B07HJHK8Y5,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,5.0,Gift card,Makes these so easy for any holiday and especially stops buying something people do not like,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,0,0,2
90,B076ZTSX5V,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,5.0,Starbuck gift card,My friend like the gift card like the sweater for holiday card,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,2,1,0,4
91,B00FTGTM5E,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Good litte thank-you gifts,"I'm happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them.",POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy;trust,no,1,4,0,1,4,0,3,4,1,6
92,B07GH6WX29,AFMHO73ZLBHUMB36EHB4GUFLM3SA,3.0,Okay as a gift,"After I bought several I realized I could have sent ""gift"" money via text without the fees or wait.",NEGATIVE,NEGATIVE,ok,anticipation,no,anticipation,no,1,4,0,0,3,0,3,1,1,3
93,B07FMJVVKW,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Good gift,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend.",POSITIVE,POSITIVE,ok,joy,no,joy,no,0,3,0,0,4,0,3,3,0,5
94,B07HJHK8Y5,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,So convenient.,"Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!",POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,1,4,0,0,3,0,2,1,1,5
95,B00IX1I3G6,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Just what was ordered.,Made holiday shopping easy!,POSITIVE,POSITIVE,ok,anticipation,yes,anticipation;joy,no,0,2,0,0,2,0,1,1,0,2
96,B086KKT3RX,AFQW7QX2DREMFPK5WSMQKG27UOQA,5.0,Can Do It From Home,Usually I either receive an Amazon gift card as a birthday and/or Christmas gift or I purchase them at a store. Then it's very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br />So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didn't have to leave the comfort of my home. I will be using it again in the future.,POSITIVE,POSITIVE,ok,anticipation,no,anticipation,no,0,9,0,0,7,1,7,2,2,15
97,B00IX1I3G6,AG6K7GPCDHQNKMVDMTYKKWSOAVVQ,5.0,Love it!,Love my card!!,POSITIVE,POSITIVE,ok,joy,no,joy,no,0,0,0,0,2,0,0,0,0,2
