source_line,asin,user_id,rating,title,text,binary_sentiment,binary_status,llm_sentiment,llm_emotion,status,error_detail
22,B01C9MW8Z6,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
23,B072BQ7XSH,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
24,B01IE42ST4,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
25,B07HJD9FVV,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
26,B07HJHK8Y5,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good product,Good product,POSITIVE,ok,POSITIVE,joy,ok,
27,B00BXLWD0U,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good product,Good product,POSITIVE,ok,POSITIVE,joy,ok,
28,B01MSBQB1P,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
29,B01K8RMDO0,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good Product,Good Product,POSITIVE,ok,POSITIVE,joy,ok,
30,B07PFLG7VG,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,5.0,Good,Good,POSITIVE,ok,POSITIVE,joy,ok,
31,B07FK7L976,AFEJKJ56OD6H2XH55DGHJI2526MA,5.0,Gift card,Perfect for Christmas,POSITIVE,ok,POSITIVE,joy,ok,
32,B00IX1I3G6,AEINWALDRYT4NTF3M5NC2WZ5YQNA,5.0,So easy,Easy to do,POSITIVE,ok,POSITIVE,joy,ok,
33,B00IX1I3G6,AHVPSZCUQH3UMQCGQSDZ7BZVUHNQ,2.0,Mistake,Hit button by mistake n deduction from credit card on file,NEGATIVE,ok,NEGATIVE,anger,ok,
34,B01K8RL9C2,AFPHKIJFGIU4G4POXRFCEF5RJJHA,5.0,Great gift idea,Always great to order from my home. Amazon rocks!,POSITIVE,ok,POSITIVE,joy,ok,
35,B01K8RL9C2,AGQSSZPF5DTU56OIYEZVVKTMKJIQ,5.0,Secure,So easy to use and recipients get to choose how to use it.,POSITIVE,ok,POSITIVE,trust,ok,
36,B01C9MW8Z6,AHHKNZRXSHRMSGS4WZU4G2XUFF6A,5.0,Birthday surprise!,This was a good birthday surprise!,POSITIVE,ok,POSITIVE,joy,ok,
37,B077T9WSSN,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,5.0,Birthday Gift,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",POSITIVE,ok,POSITIVE,trust,ok,
38,B01MSBQB1P,AEMM65JNJARUZ23W4LY7737WXIXQ,5.0,Fun,Awesome & they work,POSITIVE,ok,POSITIVE,joy,ok,
39,B00IX1I3G6,AG57CQ6P4QWYMWUV6MTAOETUKHTA,5.0,Reload is super easy.,Really ready to reload gift cards.,POSITIVE,ok,POSITIVE,trust,ok,
40,B071NM2PNL,AEN7KAKQJGIQCNK6NMVWH2WZ3YXQ,5.0,Convenience of giftabiliy.,A great way to give a gift to family members in physical form. It was so convenient.,POSITIVE,ok,POSITIVE,joy,ok,
41,B014S24J16,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,Great Gift Package,Nice gift packaging for any event,POSITIVE,ok,POSITIVE,joy,ok,
42,B00CIECDEM,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,Grest Sandwitches !!,Perfect and I even used Amazon Points - was mailed right out.,POSITIVE,ok,POSITIVE,joy,ok,
43,B00HLAO738,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,GOOD PIZZA !!,Perfect and I even used Amazon Points - was mailed right out.,POSITIVE,ok,POSITIVE,joy,ok,
44,B015726JLY,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,5.0,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place.,POSITIVE,ok,POSITIVE,joy,ok,
45,B076CV42TK,AHYARJU3M2CYM3W5SZYL33KOFVHA,5.0,Money was loaded on card,Was cute and the money was loaded when it arrived,POSITIVE,ok,POSITIVE,joy,ok,
46,B07HJHK8Y5,AEG6UV72JH6WOHEAWLMNXT6J7F4A,5.0,👍,👍,POSITIVE,ok,POSITIVE,joy,ok,
47,B086KKT3RX,AFZ2WFNVLG46EXHEF5AEG4LNR5JQ,5.0,Love it!!,This is an online gift card nothing to show sorry🤪,POSITIVE,ok,NEGATIVE,sadness,ok,
48,B0091JKY0M,AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,5.0,Five Stars,Gift cards are always a hit.,POSITIVE,ok,POSITIVE,joy,ok,
49,B072P5VV4D,AET5VFNIYKIHIPO3ZALZSLXX3KOQ,5.0,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,POSITIVE,ok,POSITIVE,joy,ok,
50,B00IX1I3G6,AF76P2AWQWB7ZDCNGZO2GV7JIK4Q,5.0,Reccomend,Really easy to load,POSITIVE,ok,POSITIVE,joy,ok,
51,B0091JKYLQ,AFEYY6TB5DOF2U4WCL7GRMNZREJA,5.0,Little sister surprise,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!",POSITIVE,ok,POSITIVE,anticipation,ok,
52,B00IX1I3G6,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1.0,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more.<br /><br />A Bronx cheer for you!,NEGATIVE,ok,NEGATIVE,anger,ok,
53,B07Q8KN5TJ,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,4.0,Perfect gift!,This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,POSITIVE,ok,POSITIVE,joy,ok,
54,B07Y5YJK66,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,4.0,Great staff appreciation gift!,What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,POSITIVE,ok,POSITIVE,joy,ok,
55,B01C9MW8Z6,AFTPWW67O3POISX7RO75HMRHQL3Q,5.0,Cute cute cute!,I love the tin! The gift cards can be ordered on different amounts.,POSITIVE,ok,POSITIVE,joy,ok,
56,B00IX1I3G6,AEZJ2TU2SLZEDP2YXEM7UHTLM6EA,5.0,Five Stars,Simple and easy.,POSITIVE,ok,POSITIVE,joy,ok,
57,B086KKT3RX,AF2FG45QSSVK2WMLTGPTD5IZHSWA,5.0,As described.,Being able to reload the gift card is a time saver.,POSITIVE,ok,POSITIVE,joy,ok,
58,B01MDLOM4V,AF36B77ISO4OHA5GUTF46F4BJRMQ,5.0,Perfect gift for any occasion. Let them pick out what they love!,"I mean really, who wouldn't LOVE this?!?  Wonderful gift for any occasion.",POSITIVE,ok,POSITIVE,joy,ok,
59,B005ESMHN6,AF36B77ISO4OHA5GUTF46F4BJRMQ,5.0,12 year old daughter loved this gift!,Perfect gift for your kids!,POSITIVE,ok,POSITIVE,joy,ok,
60,B00IX1I3G6,AGV5IAI7ELBBT327V7EUBECMW6MQ,5.0,Easy to send to an Amazon shopper,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,POSITIVE,ok,POSITIVE,joy,ok,
61,B00IX1I3G6,AFOU3KAJIZ7YQCXJ3CJOYJ3J7GSQ,5.0,Rec'd promo from Amazon when reloading gift card.,"Bonus, rec'd a promo from Amazon for reloading gift card.  Yeah.<br /><br />Gift card was posted to my account quickly.",POSITIVE,ok,POSITIVE,joy,ok,
62,B00IX1I3G6,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,5.0,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card.,POSITIVE,ok,POSITIVE,joy,ok,
63,B005ESMF5G,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,5.0,What a great company,"Who wouldn't want an Amazon gift card?  The box foretold the contents, lol.",POSITIVE,ok,POSITIVE,joy,ok,
64,B07RN957Q8,AHZ53K26WSCRDR32EGBBA43OEFFA,1.0,A problem to use at drive thru's,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",NEGATIVE,ok,NEGATIVE,anger,ok,
65,B00IX1I3G6,AFOELOYLQUGV6UDAZU2YLAOVZ4JA,5.0,A gift card does make a great gift for a tweenager.,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",POSITIVE,ok,POSITIVE,joy,ok,
66,B00IX1I3G6,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,5.0,Nice to have,"This comes in  very handy, and makes the guilt less",POSITIVE,ok,POSITIVE,joy,ok,
67,B071NM2PNL,AGSGQ6Z2XBJPLC5C2EOZDPCDXKDQ,5.0,Excellent Gift,"Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!",POSITIVE,ok,POSITIVE,joy,ok,
68,B00IX1I3G6,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,5.0,Yay so easy!,So easy! No scraping!,POSITIVE,ok,POSITIVE,joy,ok,
69,B086KKT3RX,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,5.0,:),easy to use,POSITIVE,ok,POSITIVE,joy,ok,
70,B00IX1I3G6,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,5.0,10/10,works great,POSITIVE,ok,POSITIVE,joy,ok,
71,B06ZY43PDR,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,5.0,Perfect for a birthday 🎂,Another nice gift box from Amazon. With the world the way it is now I had to send a gift rather than going to a party. And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail.,POSITIVE,ok,POSITIVE,joy,ok,
72,B07FKKBFHS,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,5.0,Perfect!,Bought this for a gift and was very happy it shipped quickly and they received it just in time! Amazon is awesome! 🤩,POSITIVE,ok,POSITIVE,joy,ok,
73,B01K8RIM5Y,AHUX7LYUKBTCPVVALKMMPH6JYCGQ,5.0,Gift box nice!,Love the gift box. So much j NB icee than just handing a gift card to the grandkids.,POSITIVE,ok,POSITIVE,joy,ok,
74,B086KKT3RX,AETXMYPV6KHWTNVRXNXFYQN2TZNA,5.0,It was soooo easy,It was a nice way to give a present,POSITIVE,ok,POSITIVE,joy,ok,
75,B005ESMGZU,AFDAN27KWZQOMPX5J2NB7MAPOIXA,5.0,great,great buy,POSITIVE,ok,POSITIVE,joy,ok,
76,B00IT0NO10,AHI5GVBI6PNSQ4T43RTEAJ4VQH2A,5.0,Amazon Thinks of Everything!,GREAT idea!  I was so happy to have these on hand for the Holidays!,POSITIVE,ok,POSITIVE,joy,ok,
77,B0866QM41K,AGWX2VRM6GYPGQM3XNL2NEYY7JAQ,5.0,Amazon lover giftee?  Buy it!,So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br /><br />Well done Amazon.  Well done.,POSITIVE,ok,POSITIVE,joy,ok,
78,B00IX1I3G6,AFTDSPCG32FV2VPWLEYPDQARTSQA,5.0,Timing,Great timing.,POSITIVE,ok,POSITIVE,joy,ok,
79,B086KKT3RX,AFH37SUSDVJI6GWNF2YSSGAPUB7A,5.0,Was easy to do,Easy to use,POSITIVE,ok,POSITIVE,joy,ok,
80,B07FKK8SFR,AEVH6SVYTFNNONWKJLLZOGDRBFWQ,5.0,PENGUINS,So so cute!,POSITIVE,ok,POSITIVE,joy,ok,
81,B0866QM41K,AE5PZITMWZJBPVKL7XXYUFBTITQA,5.0,Believe this is the best gift to give !,The recipient can choose what they want so the giver has less chance of a mistake.,POSITIVE,ok,POSITIVE,trust,ok,
82,B01MSBQB1P,AEUZHPIGXLWEQ7HW5LRYEPD3QYCQ,5.0,convenient,A great and convenient gift idea-price is right too!,POSITIVE,ok,POSITIVE,joy,ok,
83,B005ESMM04,AG4H4WHLCUIJMCIRGXUZWNVIOODA,5.0,Five Stars,The gift card came in a pretty box.<br />Thanks Amozan.,POSITIVE,ok,POSITIVE,joy,ok,
84,B07641P3WL,AFP4PCVJ723ZNLOS4IPWVLLC3T2Q,5.0,Best gift for someone you don’t know what to get,This was for a gift,POSITIVE,ok,POSITIVE,NO_EMOTION,ok,
85,B07674CBVT,AFGNK6IBETT72HOGGHE7GMBDWPQA,5.0,Great value,Made my shopping much better good value,POSITIVE,ok,POSITIVE,joy,ok,
86,B07DDC8FJM,AGF6GWDAWG7UW3R5O2G5O5JZC4BQ,5.0,Sweet gift!,I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty!,POSITIVE,ok,POSITIVE,joy,ok,
87,B07HJD9FVV,AG4DEQCBVNCJPRHXC3S255BBJALQ,5.0,Amazing,It can be used for a variety of things.,POSITIVE,ok,POSITIVE,trust,ok,
88,B07FK7L976,AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,5.0,Great Holder,Great holder for gift cards,POSITIVE,ok,POSITIVE,joy,ok,
89,B07HJHK8Y5,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,5.0,Gift card,Makes these so easy for any holiday and especially stops buying something people do not like,POSITIVE,ok,POSITIVE,joy,ok,
90,B076ZTSX5V,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,5.0,Starbuck gift card,My friend like the gift card like the sweater for holiday card,POSITIVE,ok,POSITIVE,joy,ok,
91,B00FTGTM5E,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Good litte thank-you gifts,"I'm happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them.",POSITIVE,ok,POSITIVE,joy,ok,
92,B07GH6WX29,AFMHO73ZLBHUMB36EHB4GUFLM3SA,3.0,Okay as a gift,"After I bought several I realized I could have sent ""gift"" money via text without the fees or wait.",NEGATIVE,ok,NEGATIVE,sadness,ok,
93,B07FMJVVKW,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Good gift,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend.",POSITIVE,ok,POSITIVE,trust,ok,
94,B07HJHK8Y5,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,So convenient.,"Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!",POSITIVE,ok,POSITIVE,joy,ok,
95,B00IX1I3G6,AFMHO73ZLBHUMB36EHB4GUFLM3SA,5.0,Just what was ordered.,Made holiday shopping easy!,POSITIVE,ok,POSITIVE,joy,ok,
96,B086KKT3RX,AFQW7QX2DREMFPK5WSMQKG27UOQA,5.0,Can Do It From Home,Usually I either receive an Amazon gift card as a birthday and/or Christmas gift or I purchase them at a store. Then it's very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br />So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didn't have to leave the comfort of my home. I will be using it again in the future.,POSITIVE,ok,POSITIVE,joy,ok,
97,B00IX1I3G6,AG6K7GPCDHQNKMVDMTYKKWSOAVVQ,5.0,Love it!,Love my card!!,POSITIVE,ok,POSITIVE,joy,ok,
98,B086KKT3RX,AFGDRVPCP742YM5MMLFIKZCGNNRQ,5.0,Easy to use,It’s easy to use and very convenient. I would definitely consider refill more in the future,POSITIVE,ok,POSITIVE,trust,ok,
99,B00IX1I3G6,AFGDRVPCP742YM5MMLFIKZCGNNRQ,3.0,Easy to use,Very easy to use. I wish I knew about it earlier,POSITIVE,ok,POSITIVE,joy,ok,
100,B01K8RJDEI,AFWAXSLBIVNLLSKAKEXZWH6ZRFIQ,5.0,Perfect gift sent I a lovely container,Sent in a lovely container,POSITIVE,ok,POSITIVE,joy,ok,
